date,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,precipitation_sum,precipitation_hours,precipitation_probability_max,daylight_duration,sunshine_duration,uv_index_max,weather_category,weather_description,severity_level,asset
2026-06-10,95,87.8,74.1,10:19,01:05,0.0,0.0,35,53199.52,47048.81,7.9,Thunderstorm,Slight or moderate thunderstorm,1,scattered-thunderstorms-day.svg
2026-06-11,95,87.1,74.2,10:19,01:06,0.0,0.0,15,53232.49,43200.0,7.65,Thunderstorm,Slight or moderate thunderstorm,1,scattered-thunderstorms-day.svg
2026-06-12,3,81.2,68.8,10:19,01:06,0.0,0.0,19,53262.24,43200.0,7.7,Clouds,Overcast,3,cloudy.svg
2026-06-13,3,85.3,63.9,10:19,01:07,0.0,0.0,6,53288.78,51977.57,7.35,Clouds,Overcast,3,cloudy.svg
2026-06-14,80,82.1,67.9,10:19,01:07,0.169,6.0,52,53312.09,31818.18,6.7,Rain Showers,Slight rain showers,1,rainy-2-day.svg
2026-06-15,55,72.3,57.4,10:19,01:07,0.343,15.0,24,53332.18,0.0,0.7,Drizzle,Dense drizzle,3,rainy-3-day.svg
2026-06-16,3,74.6,56.8,10:19,01:08,0.0,0.0,20,53349.03,52318.27,7.3,Clouds,Overcast,3,cloudy.svg
2026-06-17,3,72.3,62.5,10:19,01:08,0.0,0.0,6,53362.64,39694.19,4.05,Clouds,Overcast,3,cloudy.svg
2026-06-18,61,64.5,56.7,10:19,01:08,0.354,18.0,14,53372.99,222.66,0.85,Rain,Slight rain,1,rainy-1-day.svg
2026-06-19,3,73.8,55.1,10:19,01:09,0.0,0.0,16,53380.1,50521.36,7.2,Clouds,Overcast,3,cloudy.svg
2026-06-20,3,81.0,60.9,10:19,01:09,0.0,0.0,26,53383.97,52511.64,6.3,Clouds,Overcast,3,cloudy.svg
2026-06-21,51,85.2,65.2,10:20,01:09,0.024,3.0,48,53384.58,52498.46,7.55,Drizzle,Light drizzle,1,rainy-1-day.svg
2026-06-22,53,78.0,67.7,10:20,01:09,0.319,18.0,31,53381.95,31555.79,6.05,Drizzle,Moderate drizzle,2,rainy-2-day.svg
2026-06-23,3,79.8,67.5,10:20,01:10,0.0,0.0,23,53376.07,22765.14,3.3,Clouds,Overcast,3,cloudy.svg
2026-06-24,51,87.3,70.4,10:20,01:10,0.035,6.0,26,53366.95,52449.92,7.45,Drizzle,Light drizzle,1,rainy-1-day.svg
2026-06-25,3,82.1,67.3,10:21,01:10,0.0,0.0,26,53354.61,52379.9,7.65,Clouds,Overcast,3,cloudy.svg
