attraction,street_address,city,state,phone_number,website,is_indoor,water,play_sweat_it_out,small_kid_friendly_under_10,big_kid_friendly_over_10,culture,nature,adult_only,attraction_uuid,,,,,
Mary T Meagher Aquatic Center,201 reservoir ave,Louisville,KY,502-555-1234,www.uofl.edu,1,1,1,1,1,0,0,0,1,,,,,
Downtown YMCA,555 s 2nd street,Louisville,KY,502-555-1235,www.uofl.edu,1,1,1,1,1,0,0,0,2,,,,,
Southeast YMCA,5930 six mile lane,Louisville,KY,502-555-1236,www.uofl.edu,0,1,1,1,1,0,0,0,3,,,,,
Plainview Swim Center,10235 Timberwood Cir,Louisville,KY,502-555-1237,www.uofl.edu,0,1,1,1,1,0,0,0,4,,,,,
Riverveiw Park,8202 greenwood rd,Louisville,KY,502-555-1238,www.uofl.edu,0,1,1,1,0,0,1,0,5,,,,,
Iroquois Park,2120 rundill rd,Louisville,KY,502-555-1239,www.uofl.edu,0,1,1,1,0,0,1,0,6,,,,,
Kentucky Kingdom,937 phillips lan,Louisville,KY,502-555-1240,www.uofl.edu,0,1,1,1,1,0,0,0,7,,,,,
Activate  Louisville,2510 hurstborne gem ln,Louisville,KY,502-555-1241,www.uofl.edu,1,0,1,1,1,0,0,0,8,,,,,
Muhammad Ali Center,144 n 6th st,Louisville,KY,502-555-1242,www.uofl.edu,1,0,0,1,1,1,0,0,9,,,,,
Kentucky Derby Museum,704 central ave,Louisville,KY,502-555-1243,www.uofl.edu,1,0,0,1,1,1,0,0,10,,,,,
Churchill Downs,700 central ave,Louisville,KY,502-555-1244,www.uofl.edu,0,0,1,1,1,1,0,0,11,,,,,
Lynn Family Stadium,350 Adams St,Louisville,KY,502-555-1245,www.uofl.edu,0,0,1,1,1,0,0,0,12,,,,,
Louisville Bats Stadium,401 e main st,Louisville,KY,502-555-1246,www.uofl.edu,0,0,1,1,1,0,0,0,13,,,,,
Norton Track and Field Center,3029 muhammad ali,Louisville,KY,502-555-1247,www.uofl.edu,0,0,1,1,1,0,0,0,14,,,,,
Kentucky Science Center,727 w main st,Louisville,KY,502-555-1248,www.uofl.edu,1,0,1,1,1,0,0,0,15,,,,,
Slugger Museum,800 w main st,Louisville,KY,502-555-1249,www.uofl.edu,1,0,1,1,1,1,0,0,16,,,,,
Mitcher's Fort Nelson Distillery,801 w main st,Louisville,KY,502-555-1250,www.uofl.edu,1,0,0,0,0,1,0,1,17,,,,,
Angel's Envy Distillery,500 e main st,Louisville,KY,502-555-1251,www.uofl.edu,1,0,0,0,0,1,0,1,18,,,,,
Old Forester Distillery,119 w main st,Louisville,KY,502-555-1252,www.uofl.edu,1,0,0,0,0,1,0,1,19,,,,, 
Kentucky Museum of Arts and Crafts,715 w main st,Louisville,KY,502-555-1253,www.uofl.edu,1,0,1,1,1,1,0,0,20,,,,,
